495	0	0	0	1	4	0	0	0	0	0	32	9	4	0	0	3	2	2	0	0	
0	29	1	3	0	0	11	1	1	1	2	0	0	0	2	1	0	0	0	2	1	
0	1	165	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	
0	3	1	352	0	0	3	4	1	3	5	0	0	0	10	6	0	0	0	2	1	
1	0	0	0	438	1	0	0	0	0	0	2	1	9	0	0	1	1	1	0	0	
4	0	0	0	1	514	0	0	0	0	0	5	9	2	0	0	2	1	2	0	0	
0	11	1	3	0	0	1346	3	1	1	4	0	0	0	2	2	0	0	0	2	3	
0	1	1	4	0	0	3	372	1	5	9	0	0	0	1	3	0	0	0	3	2	
0	1	1	1	0	0	1	1	1758	228	2	0	0	0	15	14	0	0	0	10	19	
0	1	1	3	0	0	1	5	228	1004	101	0	0	0	2	24	0	0	0	9	16	
0	2	1	5	0	0	4	9	2	101	893	0	0	0	1	6	0	0	0	3	2	
32	0	0	0	2	5	0	0	0	0	0	394	3	10	0	0	2	3	2	0	0	
9	0	0	0	1	9	0	0	0	0	0	3	70	2	0	0	1	1	2	0	0	
4	0	0	0	9	2	0	0	0	0	0	10	2	864	0	0	1	1	2	0	0	
0	2	1	10	0	0	2	1	15	2	1	0	0	0	389	14	0	0	0	2	1	
0	1	1	6	0	0	2	3	14	24	6	0	0	0	14	315	0	0	0	4	1	
3	0	0	0	1	2	0	0	0	0	0	2	1	1	0	0	13	3	2	0	0	
2	0	0	0	1	1	0	0	0	0	0	3	1	1	0	0	3	699	22	0	0	
2	0	0	0	1	2	0	0	0	0	0	2	2	2	0	0	2	22	219	0	0	
0	2	1	2	0	0	2	3	10	9	3	0	0	0	2	4	0	0	0	253	3	
0	1	1	1	0	0	3	2	19	16	2	0	0	0	1	1	0	0	0	3	86	
